mhjd     flux     flux_err     flag
====     ====     ========     ====
56735.522071 -0.009530 0.015495 0.000000
56737.465449 0.025404 0.021833 0.000000
56987.982054 0.095135 0.031921 0.000000
56992.714196 0.207754 0.035865 0.000000
56995.893499 0.155844 0.063872 0.000000
57006.166008 0.149898 0.013654 0.000000
57026.705160 0.199713 0.007462 0.000000
57030.806922 0.205614 0.006867 0.000000
57038.979071 0.240668 0.006225 0.000000
57039.693094 0.279775 0.013141 0.000000
57041.638232 0.241547 0.007834 0.000000
57044.424758 0.222572 0.007680 0.000000
57047.583284 0.233109 0.007786 0.000000
57049.587403 0.272138 0.006571 0.000000
57050.385283 0.248386 0.011421 0.000000
57051.642489 0.243597 0.009032 0.000000
57155.931844 0.373995 0.025576 0.000000
57172.901377 0.341541 0.022930 0.000000
57192.115755 0.277566 0.017665 0.000000
57231.892486 0.265621 0.017974 0.000000
57240.117734 0.218539 0.012694 0.000000
57454.407288 0.019669 0.008875 0.000000
57456.576871 0.033490 0.010142 0.000000
57548.307030 -0.005153 0.017065 0.000000
