mhjd     flux     flux_err     flag
====     ====     ========     ====
56630.854116 -0.020609 0.000782 0.000000
57023.604505 0.371464 0.030723 0.000000
57025.660459 0.387448 0.028616 0.000000
57026.722565 0.414409 0.030529 0.000000
57029.442706 0.402069 0.042442 0.000000
57032.463786 0.414987 0.024790 0.000000
57035.594500 0.377629 0.019070 0.000000
57039.656294 0.448601 0.014374 0.000000
57044.622821 0.483001 0.014898 0.000000
57048.001905 0.451553 0.013182 0.000000
57048.719823 0.525557 0.014911 0.000000
57050.475251 0.441373 0.011070 0.000000
57051.652546 0.438528 0.035881 0.000000
57053.220803 0.424536 0.012942 0.000000
57053.627454 0.408668 0.052802 0.000000
57056.487737 0.522727 0.019275 0.000000
57058.411577 0.532344 0.013402 0.000000
57059.276447 0.563033 0.031013 0.000000
57060.492004 0.501653 0.020693 0.000000
57066.655478 0.681221 0.033323 0.000000
57069.308676 0.668628 0.034686 0.000000
57077.397727 0.707606 0.031039 0.000000
57081.908002 0.705979 0.036657 0.000000
57095.090669 0.740522 0.039532 0.000000
57109.101172 0.696901 0.030119 0.000000
57123.111267 0.749106 0.037242 0.000000
57137.004902 0.842152 0.051755 0.000000
57150.921457 0.726991 0.056922 0.000000
57164.800457 0.908343 0.032179 0.000000
57181.769365 0.810839 0.041089 0.000000
57200.989151 0.802907 0.037370 0.000000
57220.880465 0.745635 0.043712 0.000000
57240.793438 0.669546 0.037648 0.000000
57248.914197 0.718698 0.027152 0.000000
57256.690542 0.609820 0.038474 0.000000
57358.532777 0.227900 0.032357 0.000000
57373.648589 0.172156 0.027953 0.000000
57399.754864 0.172664 0.028727 0.000000
57434.859805 0.223796 0.026441 0.000000
57458.923659 0.206739 0.027963 0.000000
57465.433427 0.206747 0.024840 0.000000
57477.293103 0.196383 0.025298 0.000000
57491.787923 0.113306 0.030415 0.000000
57505.236687 0.132534 0.031237 0.000000
57526.003740 0.148579 0.030742 0.000000
57540.266739 0.107796 0.030864 0.000000
57553.993163 0.120411 0.022896 0.000000
57557.238108 0.106318 0.020450 0.000000
57559.891649 0.118269 0.023360 0.000000
57573.828063 0.122461 0.032276 0.000000
57577.809055 0.155182 0.025653 0.000000
57579.796809 0.139812 0.033210 0.000000
57581.737323 0.097958 0.033925 0.000000
57582.797662 0.128446 0.031191 0.000000
57584.401236 0.145435 0.031218 0.000000
57586.472684 0.133321 0.029501 0.000000
57588.645061 0.123635 0.035408 0.000000
57590.222318 0.127151 0.032781 0.000000
57598.910810 0.158333 0.041033 0.000000
57601.956909 0.116202 0.047916 0.000000
57605.933873 0.127803 0.035032 0.000000
57610.433875 0.108904 0.022946 0.000000
57615.810327 0.133842 0.029920 0.000000
57618.751768 0.147302 0.022706 0.000000
57621.895259 0.120379 0.027632 0.000000
57723.908059 0.088998 0.037109 0.000000
57759.745364 0.089785 0.043173 0.000000
57759.793351 0.122694 0.036435 0.000000
