mhjd     flux     flux_err     flag
====     ====     ========     ====
56961.595753 -0.004537 0.003140 0.000000
57125.641824 -0.008463 0.005329 0.000000
57126.908394 -0.010324 0.003835 0.000000
57127.673283 -0.022235 0.005810 0.000000
57131.717387 -0.006151 0.004489 0.000000
57137.461264 -0.001879 0.005336 0.000000
57500.395177 0.007235 0.002219 0.000000
57508.152936 0.002046 0.005482 0.000000
57510.406194 -0.016587 0.006810 0.000000
57512.427241 -0.005046 0.004794 0.000000
57513.234285 -0.010088 0.008476 0.000000
57556.313468 -0.004130 0.006869 0.000000
57568.187508 -0.005741 0.008105 0.000000
57696.948583 -0.006492 0.005212 0.000000
57733.034062 -0.016160 0.007281 0.000000
57752.803471 0.000128 0.006329 0.000000
57829.340869 -0.013729 0.006472 0.000000
57848.140882 -0.018602 0.006514 0.000000
57868.684009 0.002642 0.007416 0.000000
57887.022148 -0.002749 0.006374 0.000000
