mhjd     flux     flux_err     flag
====     ====     ========     ====
56998.695703 -0.002451 0.001244 0.000000
57162.845766 -0.002065 0.001909 0.000000
57164.094894 0.001093 0.001546 0.000000
57164.887290 0.000907 0.002732 0.000000
57168.919838 0.001327 0.002235 0.000000
57174.695487 0.000216 0.001926 0.000000
57545.361788 0.000138 0.002115 0.000000
57547.614685 -0.000317 0.002089 0.000000
57549.780074 0.001764 0.002612 0.000000
57550.445720 -0.003904 0.002927 0.000000
57593.521661 0.004393 0.007030 0.000000
57605.391408 -0.003830 0.003613 0.000000
57734.179466 -0.001713 0.002702 0.000000
57770.243992 -0.000862 0.002562 0.000000
57790.006197 0.003497 0.003910 0.000000
57866.549691 -0.000465 0.002700 0.000000
57885.351310 -0.005839 0.002825 0.000000
57905.892836 -0.000894 0.002677 0.000000
57924.230620 -0.003149 0.002618 0.000000
