mhjd     flux     flux_err     flag
====     ====     ========     ====
57008.900836 0.000858 0.003282 0.000000
57172.982451 -0.003371 0.004703 0.000000
57174.851862 0.002414 0.006093 0.000000
57175.020315 -0.003168 0.006817 0.000000
57179.066101 -0.004152 0.004279 0.000000
57184.834303 0.000860 0.004229 0.000000
57555.501396 0.002768 0.005963 0.000000
57557.756463 0.012649 0.008208 0.000000
57559.667517 0.014140 0.006582 0.000000
57560.585598 0.001289 0.008299 0.000000
57603.665689 0.004414 0.007496 0.000000
57615.525633 -0.003946 0.009128 0.000000
57744.307256 -0.003443 0.005613 0.000000
57780.387245 0.007605 0.011037 0.000000
57800.143478 0.000063 0.007389 0.000000
57876.693874 0.005949 0.008390 0.000000
57895.488301 -0.000482 0.005717 0.000000
57916.034712 -0.005002 0.007114 0.000000
57934.370154 0.003335 0.007141 0.000000
