mhjd     flux     flux_err     flag
====     ====     ========     ====
56735.145154 -0.014339 0.016886 0.000000
56737.113359 -0.004553 0.027511 0.000000
56987.613188 0.007554 0.025027 0.000000
56992.345625 0.014601 0.037055 0.000000
56995.526967 -0.019874 0.048993 0.000000
57005.792370 -0.000377 0.016088 0.000000
57026.349682 0.006487 0.007358 0.000000
57030.450590 -0.001575 0.008037 0.000000
57038.668450 0.005100 0.006971 0.000000
57039.335394 -0.006869 0.012481 0.000000
57041.277039 -0.003996 0.007883 0.000000
57044.048735 0.000423 0.006802 0.000000
57047.226084 -0.000175 0.007027 0.000000
57049.350934 0.005182 0.006117 0.000000
57050.035891 -0.004852 0.008887 0.000000
57051.280807 0.005265 0.007035 0.000000
57155.566298 0.055340 0.023558 0.000000
57172.534595 -0.005143 0.019619 0.000000
57191.750573 0.005629 0.014908 0.000000
57231.528378 0.040838 0.018554 0.000000
57454.051168 0.101656 0.010360 0.000000
57456.211147 0.105222 0.009126 0.000000
57547.942615 0.121946 0.015452 0.000000
