mhjd     flux     flux_err     flag
====     ====     ========     ====
57008.900836 0.000343 0.001310 0.000000
57172.982451 -0.001346 0.001878 0.000000
57174.851862 0.000964 0.002432 0.000000
57175.020315 -0.001265 0.002722 0.000000
57179.066101 -0.001657 0.001708 0.000000
57184.834303 0.000343 0.001688 0.000000
57555.501396 0.001105 0.002381 0.000000
57557.756463 0.005050 0.003277 0.000000
57559.667517 0.005645 0.002627 0.000000
57560.585598 0.000515 0.003313 0.000000
57603.665689 0.001762 0.002992 0.000000
57615.525633 -0.001575 0.003644 0.000000
57744.307256 -0.001375 0.002241 0.000000
57780.387245 0.003036 0.004406 0.000000
57800.143478 0.000025 0.002950 0.000000
57876.693874 0.002375 0.003350 0.000000
57895.488301 -0.000192 0.002282 0.000000
57916.034712 -0.001997 0.002840 0.000000
57934.370154 0.001332 0.002851 0.000000
