mhjd     flux     flux_err     flag
====     ====     ========     ====
57006.351096 0.290263 0.010911 0.000000
57007.149178 0.304857 0.012487 0.000000
57014.732940 0.327500 0.023160 0.000000
57016.786674 0.270528 0.028963 0.000000
57017.849534 0.277069 0.032104 0.000000
57020.567742 0.412282 0.032985 0.000000
57023.773439 0.365460 0.013197 0.000000
57029.713855 0.349987 0.017732 0.000000
57044.158689 0.351411 0.031699 0.000000
57045.621177 0.513048 0.035228 0.000000
57048.545332 0.404834 0.041127 0.000000
57049.674197 0.493038 0.033711 0.000000
57050.738411 0.421537 0.031696 0.000000
57057.782316 0.466079 0.024840 0.000000
57060.435634 0.507792 0.025762 0.000000
57068.522969 0.465521 0.023509 0.000000
57073.033532 0.492937 0.023783 0.000000
57086.185516 0.549882 0.025287 0.000000
57100.227610 0.569196 0.019506 0.000000
57128.096417 0.617832 0.028228 0.000000
57141.978971 0.644906 0.021266 0.000000
57155.921561 0.634281 0.030499 0.000000
57172.890615 0.611302 0.030411 0.000000
57212.000430 0.490865 0.049067 0.000000
57240.039597 0.535051 0.021188 0.000000
57247.794092 0.437637 0.025125 0.000000
57349.658484 0.113785 0.028380 0.000000
57364.772286 0.094030 0.023469 0.000000
57390.879425 0.092780 0.018664 0.000000
57425.948035 0.099085 0.019683 0.000000
57450.050938 0.088114 0.021438 0.000000
57454.425033 0.078028 0.018887 0.000000
57468.409951 0.064988 0.018983 0.000000
57482.863132 0.117019 0.018739 0.000000
57496.364000 0.124776 0.021286 0.000000
57517.094957 0.115160 0.028735 0.000000
57531.363245 0.068140 0.018792 0.000000
57545.108540 0.023442 0.022220 0.000000
57548.413411 0.067699 0.011098 0.000000
57551.019332 0.059578 0.021584 0.000000
57555.853317 0.082790 0.026353 0.000000
57558.104965 0.093190 0.025550 0.000000
57560.310382 0.038484 0.021761 0.000000
57560.891944 -0.003325 0.051582 0.000000
57562.145880 0.012351 0.030482 0.000000
57564.929613 0.044304 0.020152 0.000000
57568.901513 0.095005 0.021045 0.000000
57570.889233 0.045754 0.018324 0.000000
57572.837353 0.072947 0.018321 0.000000
57573.874928 0.054613 0.018692 0.000000
57575.492711 0.054193 0.019012 0.000000
57577.572146 0.060934 0.015514 0.000000
57579.739413 0.076313 0.014964 0.000000
57581.328691 0.066526 0.019552 0.000000
57590.038275 0.051020 0.019135 0.000000
57593.086322 0.049768 0.032818 0.000000
57597.060174 0.086108 0.029244 0.000000
57601.551206 0.046409 0.028326 0.000000
57604.013742 0.030287 0.021865 0.000000
57606.930119 0.078355 0.023355 0.000000
57609.847190 0.049386 0.025498 0.000000
57613.025779 0.080554 0.030464 0.000000
57615.870613 0.056077 0.025213 0.000000
57715.032798 0.051866 0.029642 0.000000
57744.649766 0.045003 0.015059 0.000000
57750.873678 0.025820 0.023933 0.000000
57780.737829 0.049153 0.025216 0.000000
