mhjd     flux     flux_err     flag
====     ====     ========     ====
56621.597580 0.013046 0.021979 0.000000
57014.379593 0.046078 0.027224 0.000000
57016.436658 0.007167 0.032339 0.000000
57017.498347 0.006182 0.028095 0.000000
57020.217447 0.031800 0.028939 0.000000
57023.352229 -0.006717 0.020844 0.000000
57026.345035 0.005619 0.016419 0.000000
57030.456281 0.006104 0.017107 0.000000
57035.386642 -0.013956 0.016179 0.000000
57038.629458 -0.022324 0.013315 0.000000
57039.522419 0.001082 0.022258 0.000000
57041.227520 0.009192 0.014123 0.000000
57042.369825 -0.003181 0.029227 0.000000
57044.019175 -0.013015 0.015501 0.000000
57044.405817 0.048347 0.054183 0.000000
57047.259637 0.002701 0.016817 0.000000
57049.339065 -0.017387 0.013855 0.000000
57050.042931 0.018117 0.022517 0.000000
57051.294502 -0.005267 0.016034 0.000000
57057.430882 0.016760 0.026405 0.000000
57060.085005 -0.013800 0.034072 0.000000
57068.173160 0.026497 0.029122 0.000000
57072.683893 0.006238 0.026081 0.000000
57085.867775 -0.037934 0.028174 0.000000
57099.879797 -0.029622 0.029050 0.000000
57113.885151 0.032152 0.031052 0.000000
57127.778050 0.018524 0.027614 0.000000
57141.694820 0.091925 0.036734 0.000000
57155.577262 -0.033651 0.038133 0.000000
57172.546094 0.019501 0.037835 0.000000
57191.765758 -0.039714 0.026352 0.000000
57211.657088 0.023752 0.024768 0.000000
57231.570820 0.039018 0.029896 0.000000
57239.688666 0.021501 0.028909 0.000000
57247.478506 0.064090 0.032489 0.000000
57349.310883 0.061300 0.032271 0.000000
57364.420487 0.141787 0.030149 0.000000
57390.530391 0.127794 0.031190 0.000000
57425.633412 0.162593 0.035638 0.000000
57449.699516 0.187170 0.030739 0.000000
57456.218986 0.215960 0.025406 0.000000
57468.071125 0.198825 0.028121 0.000000
57482.563307 0.203144 0.028499 0.000000
57496.010648 0.177627 0.040282 0.000000
57516.774802 0.222946 0.024304 0.000000
57531.045459 0.238616 0.025671 0.000000
57544.766394 0.212445 0.035065 0.000000
57548.013351 0.218019 0.021301 0.000000
57550.669454 0.182220 0.025594 0.000000
57564.610489 0.223162 0.030750 0.000000
57568.586392 0.272678 0.028511 0.000000
57570.573281 0.282734 0.027017 0.000000
57572.515504 0.217253 0.029404 0.000000
57573.574342 0.212817 0.030347 0.000000
57575.176081 0.255194 0.034988 0.000000
57577.252013 0.241160 0.028909 0.000000
57579.420575 0.207652 0.026988 0.000000
57580.997403 0.222670 0.031435 0.000000
57589.689247 0.227400 0.029783 0.000000
57592.735411 0.247792 0.032712 0.000000
57596.710666 0.161712 0.034497 0.000000
57601.210012 0.225652 0.027433 0.000000
57606.590034 0.227896 0.031083 0.000000
57609.522581 0.216112 0.033800 0.000000
57612.673454 0.285698 0.028074 0.000000
57714.686447 0.096386 0.028522 0.000000
57750.534130 0.051257 0.027248 0.000000
