mhjd     flux     flux_err     flag
====     ====     ========     ====
57018.060919 0.008574 0.003892 0.000000
57564.726911 -0.005929 0.006757 0.000000
57566.979911 0.001814 0.006718 0.000000
57569.303425 -0.003040 0.004753 0.000000
57612.888911 0.009768 0.007414 0.000000
57624.763911 -0.000894 0.008598 0.000000
57789.611911 0.016853 0.008006 0.000000
57809.374911 -0.003037 0.001748 0.000000
57885.916911 0.003260 0.007677 0.000000
57904.716911 -0.002708 0.006586 0.000000
57925.258911 -0.002222 0.007651 0.000000
57943.595911 0.004562 0.008939 0.000000
