mhjd     flux     flux_err     flag
====     ====     ========     ====
57107.643843 0.046815 0.005966 0.000000
57108.711843 0.042447 0.008127 0.000000
57110.432530 0.048398 0.004015 0.000000
57111.694843 0.039145 0.005616 0.000000
57113.784670 0.039994 0.003360 0.000000
57116.589778 0.041532 0.004927 0.000000
57117.980247 0.039556 0.003893 0.000000
57119.662261 0.030715 0.003491 0.000000
57125.607843 0.048672 0.004794 0.000000
57127.224313 0.030959 0.004054 0.000000
57133.503843 0.034335 0.008173 0.000000
57135.955843 0.029861 0.007244 0.000000
57500.491484 0.009223 0.005876 0.000000
57507.612843 -0.007625 0.012343 0.000000
