mhjd     flux     flux_err     flag
====     ====     ========     ====
56957.173843 0.181889 0.012078 0.000000
56958.667738 0.182460 0.006058 0.000000
56959.428843 0.163182 0.013598 0.000000
56967.014843 0.178428 0.020238 0.000000
56969.070843 0.219747 0.010897 0.000000
56970.131843 0.223102 0.019432 0.000000
56972.850843 0.270699 0.013142 0.000000
56975.895350 0.235127 0.009933 0.000000
56981.980843 0.246720 0.007354 0.000000
56996.376515 0.255953 0.023037 0.000000
56997.917843 0.338395 0.030305 0.000000
57001.961338 0.277268 0.017500 0.000000
57003.023843 0.235297 0.034421 0.000000
57005.662843 0.202455 0.008184 0.000000
57010.063843 0.340827 0.022799 0.000000
57012.717843 0.353758 0.017070 0.000000
57020.807843 0.369951 0.016298 0.000000
57025.316843 0.392586 0.012347 0.000000
57038.477843 0.448040 0.017058 0.000000
57052.509843 0.402711 0.014170 0.000000
57066.505843 0.447643 0.017818 0.000000
57080.388843 0.267192 0.016860 0.000000
57094.259843 0.286963 0.015047 0.000000
57108.204843 0.442381 0.021922 0.000000
57125.173843 0.420541 0.028388 0.000000
57164.288843 0.351630 0.011750 0.000000
57192.322843 0.374335 0.035835 0.000000
57200.077843 0.327755 0.024880 0.000000
57301.942843 0.095288 0.013235 0.000000
57317.055843 0.086905 0.017339 0.000000
57343.162843 0.055068 0.018567 0.000000
57378.230843 0.030492 0.014930 0.000000
57402.332843 0.061136 0.018169 0.000000
57406.706843 0.025558 0.013796 0.000000
57420.693843 0.026201 0.012756 0.000000
57435.144843 0.052321 0.013036 0.000000
57448.646843 0.029627 0.015199 0.000000
57469.379843 0.023956 0.012417 0.000000
57483.645843 0.047024 0.015410 0.000000
57497.385843 0.017362 0.015714 0.000000
57500.687827 0.045305 0.006535 0.000000
57503.301843 0.016556 0.011131 0.000000
57508.136843 0.053385 0.015082 0.000000
57510.388843 0.071460 0.011774 0.000000
57512.661702 0.053070 0.011840 0.000000
57514.428843 0.023489 0.017888 0.000000
57517.211843 0.065217 0.015211 0.000000
57521.185843 0.068105 0.015106 0.000000
57523.172843 0.050871 0.008371 0.000000
57525.123843 0.032702 0.011668 0.000000
57526.157843 0.065731 0.010417 0.000000
57527.784843 0.055887 0.017093 0.000000
57529.849843 0.042196 0.012054 0.000000
57532.025843 0.047854 0.013972 0.000000
57533.616843 0.053174 0.013387 0.000000
57542.321843 0.065930 0.010499 0.000000
57545.368843 0.044242 0.013071 0.000000
57549.343843 0.061487 0.014591 0.000000
57553.825843 0.098842 0.013142 0.000000
57556.297843 0.050684 0.013410 0.000000
57559.212843 0.039214 0.015129 0.000000
57562.130843 0.048135 0.021922 0.000000
57565.306843 0.048182 0.014463 0.000000
57568.153843 0.077809 0.034210 0.000000
57667.316843 0.001777 0.017292 0.000000
57696.930843 0.025967 0.011283 0.000000
57703.155843 0.011458 0.013095 0.000000
57733.019843 -0.001719 0.008278 0.000000
