mhjd     flux     flux_err     flag
====     ====     ========     ====
57154.995042 -0.002379 0.005753 0.000000
57156.063042 -0.000903 0.005875 0.000000
57157.762561 0.003887 0.004189 0.000000
57159.046042 0.009218 0.004353 0.000000
57160.889369 -0.000019 0.002876 0.000000
57163.902997 0.006178 0.004655 0.000000
57165.426153 0.002356 0.004578 0.000000
57166.968200 -0.008620 0.004434 0.000000
57172.959042 0.002217 0.007716 0.000000
57174.362508 0.003985 0.005037 0.000000
57180.855042 0.005094 0.005159 0.000000
57183.307042 -0.003110 0.007503 0.000000
57547.854242 0.007246 0.005689 0.000000
57554.964042 0.009370 0.016011 0.000000
