mhjd     flux     flux_err     flag
====     ====     ========     ====
57004.525042 0.008178 0.009833 0.000000
57006.234661 -0.002280 0.006057 0.000000
57006.780042 -0.002719 0.012849 0.000000
57014.366042 -0.009454 0.019642 0.000000
57016.422042 0.015298 0.015609 0.000000
57017.483042 0.007032 0.015948 0.000000
57020.202042 0.006319 0.012838 0.000000
57023.204495 0.005973 0.009526 0.000000
57029.332042 -0.006800 0.010838 0.000000
57043.696379 -0.023069 0.020769 0.000000
57045.269042 -0.033164 0.026646 0.000000
57049.304843 -0.011254 0.020194 0.000000
57050.375042 -0.029680 0.019981 0.000000
57053.014042 -0.000860 0.008360 0.000000
57057.415042 -0.008039 0.014182 0.000000
57060.069042 0.000765 0.020461 0.000000
57068.159042 0.016759 0.017152 0.000000
57072.668042 -0.010506 0.014533 0.000000
57085.829042 -0.020982 0.016240 0.000000
57099.861042 0.013182 0.010593 0.000000
57113.857042 0.002227 0.013843 0.000000
57127.740042 0.008049 0.016661 0.000000
57141.611042 -0.005455 0.007214 0.000000
57155.556042 0.006085 0.016181 0.000000
57172.525042 0.026779 0.040208 0.000000
57211.640042 0.033198 0.022787 0.000000
57239.674042 0.008107 0.008710 0.000000
57247.429042 0.026230 0.015877 0.000000
57349.294042 0.032976 0.014661 0.000000
57364.407042 0.034344 0.013481 0.000000
57390.514042 0.078083 0.021525 0.000000
57425.582042 0.071676 0.014042 0.000000
57449.684042 0.125797 0.012767 0.000000
57454.058042 0.140470 0.009634 0.000000
57468.045042 0.100765 0.013025 0.000000
57482.496042 0.084045 0.020694 0.000000
57495.998042 0.153307 0.014942 0.000000
57516.731042 0.128907 0.018894 0.000000
57530.997042 0.101419 0.020157 0.000000
57544.737042 0.108551 0.015983 0.000000
57548.030002 0.135477 0.007461 0.000000
57550.653042 0.142224 0.017351 0.000000
57555.488042 0.158171 0.032889 0.000000
57557.740042 0.145088 0.017584 0.000000
57560.124058 0.109299 0.012421 0.000000
57561.780042 0.134671 0.016567 0.000000
57564.563042 0.117414 0.019771 0.000000
57568.537042 0.123493 0.015234 0.000000
57570.524042 0.141101 0.018005 0.000000
57572.475042 0.132730 0.015573 0.000000
57573.509042 0.102881 0.012417 0.000000
57575.136042 0.129725 0.018602 0.000000
57577.201042 0.134963 0.012896 0.000000
57579.377042 0.157598 0.012615 0.000000
57580.968042 0.120150 0.013504 0.000000
57589.673042 0.131245 0.022647 0.000000
57592.720042 0.130859 0.017994 0.000000
57596.695042 0.110925 0.018578 0.000000
57601.177042 0.110539 0.019420 0.000000
57603.649042 0.111311 0.012849 0.000000
57606.564042 0.090955 0.016953 0.000000
57609.482042 0.114713 0.015305 0.000000
57612.658042 0.126171 0.019946 0.000000
57615.505042 0.109791 0.017140 0.000000
57714.668042 0.010878 0.011516 0.000000
57744.282042 0.019507 0.009961 0.000000
57750.507042 0.010282 0.014615 0.000000
57780.371042 0.014561 0.013118 0.000000
