mhjd     flux     flux_err     flag
====     ====     ========     ====
57008.903542 0.000000 0.005094 0.000000
57555.503042 0.001854 0.012265 0.000000
57557.756042 -0.003694 0.010083 0.000000
57560.165229 -0.008727 0.006777 0.000000
57603.665042 -0.002603 0.012831 0.000000
57615.540042 0.005232 0.013291 0.000000
57780.388042 0.019483 0.006849 0.000000
57800.151042 -0.006310 0.011963 0.000000
57876.693042 0.011030 0.008308 0.000000
57895.493042 0.010740 0.012528 0.000000
57916.035042 -0.003050 0.007743 0.000000
57934.372042 0.001919 0.012344 0.000000
