  TARGET                RA         DEC       MJD  FILTER  APER       FLUX  FLUXERR         MAG   MAGERR  MAGSYS       ZP      SKY SKYERR  IMAGE
S2                177.39772    22.39578  56966.487   F105W   inf     0.9918   0.1986     26.2778   0.2174     AB   26.2688  -0.0009 0.0186  refsdal_f105w_e01-e00_sub_masked.fits
S2                177.39772    22.39578  56972.058   F105W   inf     1.3533   0.3321     25.9403   0.2664     AB   26.2688  -0.0005 0.0303  refsdal_f105w_e02-e00_sub_masked.fits
S2                177.39772    22.39578  56982.306   F105W   inf     1.0828   0.1812     26.1824   0.1817     AB   26.2688   0.0014 0.0135  refsdal_f105w_e03-e00_sub_masked.fits
S2                177.39772    22.39578  56982.306   F105W   inf     1.0806   0.1532     26.1847   0.1539     AB   26.2688   0.0013 0.0150  refsdal_f105w_e05-e00_sub_masked.fits
S2                177.39772    22.39578  57002.868   F105W   inf     1.9292   0.1000     25.5554   0.0563     AB   26.2688   0.0007 0.0084  refsdal_f105w_e11-e00_sub_masked.fits
S2                177.39772    22.39578  57006.982   F105W   inf     1.9108   0.1118     25.5658   0.0635     AB   26.2688   0.0021 0.0084  refsdal_f105w_e12-e00_sub_masked.fits
S2                177.39772    22.39578  57011.893   F105W   inf     1.9687   0.0768     25.5334   0.0424     AB   26.2688   0.0010 0.0083  refsdal_f105w_e13-e00_sub_masked.fits
S2                177.39772    22.39578  57014.879   F105W   inf     1.9686   0.0917     25.5334   0.0506     AB   26.2688   0.0005 0.0088  refsdal_f105w_e14-e00_sub_masked.fits
S2                177.39772    22.39578  57015.808   F105W   inf     2.1578   0.1058     25.4338   0.0532     AB   26.2688   0.0008 0.0085  refsdal_f105w_e15-e00_sub_masked.fits
S2                177.39772    22.39578  57006.982   F105W   inf     1.9290   0.1080     25.5555   0.0608     AB   26.2688   0.0019 0.0094  refsdal_f105w_e16-e00_sub_masked.fits
S2                177.39772    22.39578  57017.798   F105W   inf     2.1350   0.0776     25.4453   0.0395     AB   26.2688   0.0007 0.0084  refsdal_f105w_e17-e00_sub_masked.fits
S2                177.39772    22.39578  57020.583   F105W   inf     2.2861   0.0820     25.3711   0.0390     AB   26.2688   0.0007 0.0081  refsdal_f105w_e19-e00_sub_masked.fits
S2                177.39772    22.39578  57023.766   F105W   inf     2.4670   0.1197     25.2884   0.0527     AB   26.2688   0.0019 0.0083  refsdal_f105w_e20-e00_sub_masked.fits
S2                177.39772    22.39578  57025.557   F105W   inf     2.4141   0.1057     25.3119   0.0475     AB   26.2688   0.0008 0.0083  refsdal_f105w_e21-e00_sub_masked.fits
S2                177.39772    22.39578  57026.485   F105W   inf     2.3890   0.0880     25.3233   0.0400     AB   26.2688   0.0015 0.0080  refsdal_f105w_e22-e00_sub_masked.fits
S2                177.39772    22.39578  57027.812   F105W   inf     2.4371   0.0967     25.3017   0.0431     AB   26.2688   0.0008 0.0088  refsdal_f105w_e23-e00_sub_masked.fits
