  TARGET                RA         DEC       MJD  FILTER  APER       FLUX  FLUXERR         MAG   MAGERR  MAGSYS       ZP      SKY SKYERR  IMAGE
S4                177.39780    22.39518  56966.487   F105W   inf     0.2089   0.2762     27.9687   1.4350     AB   26.2688  -0.0033 0.0234  refsdal_f105w_e01-e00_sub_masked.fits
S4                177.39780    22.39518  56972.058   F105W   inf     0.3231   0.4224     27.4953   1.4191     AB   26.2688  -0.0065 0.0349  refsdal_f105w_e02-e00_sub_masked.fits
S4                177.39780    22.39518  56982.306   F105W   inf     0.3519   0.2719     27.4027   0.8388     AB   26.2688   0.0024 0.0167  refsdal_f105w_e03-e00_sub_masked.fits
S4                177.39780    22.39518  56982.306   F105W   inf     0.3698   0.2421     27.3489   0.7107     AB   26.2688   0.0023 0.0191  refsdal_f105w_e05-e00_sub_masked.fits
S4                177.39780    22.39518  57002.868   F105W   inf     0.4219   0.1603     27.2058   0.4126     AB   26.2688  -0.0020 0.0110  refsdal_f105w_e11-e00_sub_masked.fits
S4                177.39780    22.39518  57006.982   F105W   inf     0.3372   0.1785     27.4491   0.5748     AB   26.2688  -0.0022 0.0103  refsdal_f105w_e12-e00_sub_masked.fits
S4                177.39780    22.39518  57011.893   F105W   inf     0.4025   0.0939     27.2568   0.2533     AB   26.2688  -0.0023 0.0123  refsdal_f105w_e13-e00_sub_masked.fits
S4                177.39780    22.39518  57014.879   F105W   inf     0.3902   0.1680     27.2907   0.4676     AB   26.2688  -0.0015 0.0104  refsdal_f105w_e14-e00_sub_masked.fits
S4                177.39780    22.39518  57015.808   F105W   inf     0.3854   0.1668     27.3041   0.4700     AB   26.2688  -0.0014 0.0102  refsdal_f105w_e15-e00_sub_masked.fits
S4                177.39780    22.39518  57006.982   F105W   inf     0.3532   0.1485     27.3986   0.4565     AB   26.2688  -0.0025 0.0118  refsdal_f105w_e16-e00_sub_masked.fits
S4                177.39780    22.39518  57017.798   F105W   inf     0.5389   0.1224     26.9400   0.2466     AB   26.2688  -0.0027 0.0112  refsdal_f105w_e17-e00_sub_masked.fits
S4                177.39780    22.39518  57020.583   F105W   inf     0.5204   0.1229     26.9779   0.2563     AB   26.2688  -0.0019 0.0110  refsdal_f105w_e19-e00_sub_masked.fits
S4                177.39780    22.39518  57023.766   F105W   inf     0.5656   0.1348     26.8876   0.2587     AB   26.2688  -0.0016 0.0117  refsdal_f105w_e20-e00_sub_masked.fits
S4                177.39780    22.39518  57025.557   F105W   inf     0.5402   0.1708     26.9374   0.3433     AB   26.2688  -0.0017 0.0108  refsdal_f105w_e21-e00_sub_masked.fits
S4                177.39780    22.39518  57026.485   F105W   inf     0.5575   0.1572     26.9032   0.3061     AB   26.2688  -0.0019 0.0121  refsdal_f105w_e22-e00_sub_masked.fits
S4                177.39780    22.39518  57027.812   F105W   inf     0.4798   0.2171     27.0661   0.4912     AB   26.2688  -0.0011 0.0095  refsdal_f105w_e23-e00_sub_masked.fits
S4                177.39780    22.39518  57020.583   F105W   inf     0.5233   0.1895     26.9720   0.3932     AB   26.2688  -0.0021 0.0124  refsdal_f105w_e24-e00_sub_masked.fits
S4                177.39780    22.39518  57023.766   F105W   inf     0.5816   0.1722     26.8572   0.3215     AB   26.2688  -0.0019 0.0116  refsdal_f105w_e25-e00_sub_masked.fits
S4                177.39780    22.39518  57025.557   F105W   inf     0.5791   0.1917     26.8619   0.3594     AB   26.2688  -0.0014 0.0116  refsdal_f105w_e26-e00_sub_masked.fits
S4                177.39780    22.39518  57026.485   F105W   inf     0.5547   0.1989     26.9087   0.3893     AB   26.2688  -0.0015 0.0110  refsdal_f105w_e27-e00_sub_masked.fits
S4                177.39780    22.39518  57027.812   F105W   inf     0.4938   0.1738     27.0350   0.3821     AB   26.2688  -0.0011 0.0116  refsdal_f105w_e28-e00_sub_masked.fits
